region_acronym,M145,M146,M149
PVHpmm,0.0,0.0,0.0
PVHpv,0.0,0.0,0.0
PVR,0.0,0.0,0.0
PVT,0.0,0.0,0.0
PVZ,0.0,0.0,0.0
PVa,0.0,0.0,0.0
PVi,0.0,0.0,0.0
PVp,0.0,0.0,0.0
PVpo,0.0,0.0,0.0
PYR,0.0,0.0,0.0
Pa4,0.0,0.0,0.0
Pa5,0.0,0.0,0.0
PeF,0.6931471805599453,2.0794415416798357,0.0
PoT,0.0,0.0,0.0
ProS,3.5553480614894135,0.6931471805599453,0.0
ProSd,0.0,0.0,0.0
ProSd-sr,0.0,0.0,0.0
ProSv,0.0,0.0,0.0
Prosv-sr,0.0,0.0,0.0
RAmb,0.0,0.0,0.0
RC,0.0,0.0,0.0
RCH,0.6931471805599453,0.0,0.0
RE,0.0,1.3862943611198906,0.0
REth,0.0,0.0,0.0
RH,0.0,0.0,0.0
RHP,0.0,0.0,0.0
RL,0.0,0.0,0.0
RM,0.0,0.0,0.0
RN,0.0,0.0,0.0
RO,0.0,0.0,0.0
RPA,0.0,0.0,0.0
RPF,0.0,0.0,0.0
RPO,0.0,0.0,0.0
RR,0.0,0.0,0.0
RSP,0.0,0.0,0.0
RSPagl,4.574710978503383,3.5263605246161616,5.214935757608986
RSPd,4.204692619390966,3.912023005428146,5.117993812416755
RSPv,5.030437921392435,4.406719247264253,3.2188758248682006
RT,2.6390573296152584,3.4339872044851463,0.0
SAG,0.0,0.0,0.0
SBPV,0.0,0.0,0.0
SCH,0.0,0.0,0.0
SCO,0.0,0.0,0.0
SCig,0.0,0.0,0.0
SCm,0.0,0.0,0.6931471805599453
SCs,0.0,0.0,4.174387269895637
SEZ,0.0,0.0,0.0
SF,0.0,0.0,0.0
SFO,0.0,0.0,0.0
SG,0.0,0.0,0.0
SGN,0.0,0.0,0.0
SH,0.0,0.0,1.6094379124341003
SI,0.0,3.784189633918261,0.6931471805599453
SIM,0.0,0.0,0.0
SLC,0.0,0.0,0.0
SLD,0.0,0.0,0.0
SMT,0.0,0.6931471805599453,0.0
SNc,0.0,0.0,0.0
SNl,0.0,0.0,0.0
SNr,0.0,0.0,0.0
SO,0.0,1.3862943611198906,0.0
SOC,0.0,0.0,0.0
SOCl,0.0,0.0,0.0
SOCm,0.0,0.0,0.0
SPA,0.0,0.0,0.0
SPF,0.0,0.0,0.0
SPFm,0.0,0.0,0.0
SPFp,0.0,0.0,0.0
SPIV,0.0,0.0,0.0
SPVC,0.0,0.0,0.0
SPVI,0.0,0.0,0.0
SPVO,0.0,0.0,0.0
SPVOcdm,0.0,0.0,0.0
SPVOmdmd,0.0,0.0,0.0
SPVOmdmv,0.0,0.0,0.0
SPVOrdm,0.0,0.0,0.0
